Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.36     74.56     0.41        2     0.20     0.21  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.35     74.96     0.40 257395006     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.35     75.36     0.40 19090054     0.00     0.00  std::_Rb_tree<std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >, std::_Identity<std::set<int, std::less<int>, std::allocator<int> > >, std::less<std::set<int, std::less<int>, std::allocator<int> > >, std::allocator<std::set<int, std::less<int>, std::allocator<int> > > >::_S_right(std::_Rb_tree_node_base*)
  0.35     75.76     0.40 257395006     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::empty() const
  0.35     76.15     0.39 115451875     0.00     0.00  char* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.35     76.54     0.39 230906828     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.34     76.92     0.39 175385924     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.33     77.29     0.37 360456533     0.00     0.00  operator new(unsigned long, void*)
  0.33     77.66     0.37 100034658     0.00     0.00  void std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.32     78.02     0.36 88189652     0.00     0.00  std::vector<condition, std::allocator<condition> >::end()
  0.32     78.38     0.36 300103984     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.32     78.73     0.36 176379304     0.00     0.00  __gnu_cxx::__normal_iterator<condition*, std::vector<condition, std::allocator<condition> > >::__normal_iterator(condition* const&)
  0.31     79.08     0.35 115453411     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.31     79.42     0.35 42742614     0.00     0.00  std::_Rb_tree_const_iterator<int> std::__lc_rai<std::bidirectional_iterator_tag, std::bidirectional_iterator_tag>::__newlast1<std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.30     79.76     0.34 137172169     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.30     80.10     0.34 237206827     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::front()
  0.30     80.43     0.34 115451875     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_select_on_copy(std::allocator<char> const&)
  0.29     80.76     0.33 115453302     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.28     81.08     0.32 237206827     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.28     81.40     0.32 88189652     0.00     0.00  std::vector<condition, std::allocator<condition> >::begin()
  0.28     81.71     0.31 237206827     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.28     82.02     0.31 115451857     0.00     0.00  condition::condition(condition const&)
  0.27     82.33     0.31 237206827     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.27     82.63     0.30 115453302     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.27     82.93     0.30 115451794     0.00     0.00  std::vector<char, std::allocator<char> >::end()
  0.27     83.23     0.30 115451875     0.00     0.00  std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction(std::allocator<char> const&)
  0.27     83.53     0.30 100034658     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int&&)
  0.27     83.83     0.30 21651421     0.00     0.00  std::_Rb_tree<std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >, std::_Identity<std::set<int, std::less<int>, std::allocator<int> > >, std::less<std::set<int, std::less<int>, std::allocator<int> > >, std::allocator<std::set<int, std::less<int>, std::allocator<int> > > >::_S_left(std::_Rb_tree_node_base*)
  0.26     84.12     0.29 115451875     0.00     0.00  char* std::copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.26     84.41     0.29 100034658     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.25     84.69     0.29 118779944     0.00     0.00  bool __gnu_cxx::operator!=<condition*, std::vector<condition, std::allocator<condition> > >(__gnu_cxx::__normal_iterator<condition*, std::vector<condition, std::allocator<condition> > > const&, __gnu_cxx::__normal_iterator<condition*, std::vector<condition, std::allocator<condition> > > const&)
  0.25     84.97     0.28 115453302     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.25     85.25     0.28  5737507     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<find_actions_forward_astar(int, std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >&, std::vector<action, std::allocator<action> >&)::{lambda(node const*, node const*)#1}>::operator()<__gnu_cxx::__normal_iterator<node**, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> > >, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> > >(__gnu_cxx::__normal_iterator<node**, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> > >, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> >)
  0.25     85.53     0.28 170248259     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.25     85.81     0.28 137921561     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator==(std::_Rb_tree_const_iterator<int> const&) const
  0.24     86.09     0.28 115451875     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)
  0.24     86.36     0.27 40376358     0.00     0.00  void std::swap<std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>&, std::_Deque_iterator<int, int&, int*>&)
  0.24     86.63     0.27 230903750     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.24     86.89     0.27 237559888     0.00     0.00  __gnu_cxx::__normal_iterator<condition*, std::vector<condition, std::allocator<condition> > >::base() const
  0.24     87.16     0.27 100034658     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int&&)
  0.23     87.42     0.26       33     0.01     0.01  std::__cxx11::match_results<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_M_suffix() const
  0.23     87.67     0.26 230903750     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, true>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.22     87.92     0.25 80752716     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.22     88.17     0.25 60699678     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.21     88.41     0.24 112327143     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.20     88.64     0.23 137172169     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.20     88.87     0.23 115453278     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.20     89.10     0.23 115453278     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.20     89.33     0.23 115451794     0.00     0.00  std::vector<char, std::allocator<char> >::begin()
  0.20     89.56     0.23 148830760     0.00     0.00  std::_Rb_tree_iterator<int>::operator==(std::_Rb_tree_iterator<int> const&) const
  0.20     89.78     0.23 40376358     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.20     90.01     0.23 230903750     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.20     90.23     0.22 230906592     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.20     90.45     0.22 115453278     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.20     90.67     0.22 80752716     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.20     90.89     0.22 115451875     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.19     91.10     0.22 137172169     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.19     91.32     0.22 115451776     0.00     0.00  __gnu_cxx::__normal_iterator<condition*, std::vector<condition, std::allocator<condition> > >::operator*() const
  0.19     91.53     0.21 230903750     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, false>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.19     91.74     0.21 115451900     0.00     0.00  char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*)
